1694,1084724.0,TEDGlobal 2012,1342451934.0
1699,2442042.0,TED2015,1427295675.0
1718,1176385.0,TEDWomen 2015,1435849291.0
1735,2594008.0,TED2016,1462892747.0
1736,51884771.0,TEDGlobal>Geneva,1452269020.0
1742,391895.0,TEDGlobal 2007,1219885200.0
1745,2834056.0,TEDGlobal 2013,1372692970.0
1752,1148434.0,TEDxVancouver,1454687635.0
1777,14153456.0,TEDGlobalLondon,1436454130.0
1782,1198737.0,TEDMED 2012,1339513206.0
1789,1734023.0,TED2012,1332860616.0
1807,1706021.0,TEDGlobal 2012,1343142603.0
1809,1358893.0,TEDGlobal 2012,1342105686.0
1813,1573582.0,TED2007,1175559060.0
1814,2236521.0,TED2012,1332775185.0
1828,705551,TED2010,1266743700
1842,1067121.0,TEDxWomen 2012,1360598899.0
1853,1137956.0,TED2015,1432652804.0
1879,1149358.0,TEDGlobal 2014,1417449935.0
1887,2497830.0,TED2014,1395672542.0
1893,1173392.0,TED2016,1460991320.0
1917,694998.0,TED2010,1277198100.0
1923,1724694.0,TEDGlobal 2011,1320159221.0
1931,1540786.0,TED2011,1303310280.0
1939,1145468.0,TED2014,1396623525.0
1952,1812176.0,TED2014,1395846329.0
1972,1950898.0,TED2015,1429196874.0
1975,2404943.0,TEDxOmaha,1483719338.0
1999,6558375.0,TED2013,1362412271.0
2001,791344.0,TED2010,1268614800.0
2003,970952.0,TEDxRC2,1324652537.0
2013,710931.0,TED2007,1202089320.0
2020,2300914.0,TEDGlobal 2014,1412946663.0
2035,13634215.0,TED2016,1459522067.0
2044,5572297.0,TEDGlobal 2012,1353675600.0
2046,1209326.0,TED2017,1495637463.0
2052,1129826.0,TEDGlobal 2012,1348845792.0
2062,720957.0,TED2002,1200870300.0
2102,5257744.0,TEDGlobal 2013,1376665207.0
2107,2033375.0,TEDGlobal 2012,1345215691.0
2113,3910545.0,TEDSummit,1469200306.0
2120,1780689.0,TED2015,1430747997.0
2132,1752648.0,TED2016,1458312270.0
2136,1188348.0,TED2015,1427382819.0
2152,766135.0,TEDGlobal 2011,1311605760.0
2155,1685292.0,TEDGlobal 2011,1317044405.0
2166,5468840.0,TED2010,1267001040.0
2171,2228051.0,TED2011,1307489760.0
2176,1423961.0,TED2009,1235091600.0
2179,1429307.0,TED2010,1278408000.0
2180,5502622.0,TED2011,1299681960.0
2182,1027374.0,TED2011,1375283246.0
2185,1633574.0,TEDWomen 2013,1391184166.0
2198,2428290.0,TEDMED 2009,1266397320.0
2210,1848345.0,TEDWomen 2015,1439824731.0
2215,1187627.0,TED Residency,1496242092.0
2218,935151.0,TEDGlobal 2011,1311865086.0
2222,3973928.0,TEDMED 2013,1372172562.0
2224,1117997.0,TED Fellows Retreat 2015,1445007600.0
2228,844630,TEDGlobal 2014,1415031698
2229,5223384.0,TED2011,1304298000.0
2230,1836462,TED2008,1223341200
2233,25977731.0,TED2008,1205284200.0
2237,1533097,TEDMED 2015,1462201088
2239,1070011.0,TED2010,1269853800.0
2255,4211996.0,TED Fellows Retreat 2015,1445266800.0
2265,1525638.0,TED2016,1473951839.0
2271,5736044.0,TED2008,1210046400.0
2272,2944093.0,TEDGlobal 2012,1342796438.0
2276,2218538.0,TED2016,1458573387.0
2282,1628997.0,TEDGlobal 2012,1343660633.0
2284,800973.0,TED2011,1305038700.0
2287,1974178.0,TED2015,1435591142.0
2299,1969290.0,TED2012,1334590118.0
2306,1806943.0,TEDGlobal 2014,1421079347.0
2312,2947619.0,TEDWomen 2010,1291933500.0
2325,1014135.0,TED2016,1464707312.0
2374,1108731.0,TED2007,1180266840.0
2375,1270490.0,TED2016,1459263532.0
2386,1799440.0,TED2010,1272357000.0
2403,928683.0,TED2007,1175559060.0
2405,1465498.0,TEDWomen 2015,1434122070.0
2413,1065081.0,TED2016,1458831656.0
2423,2092587.0,TED2016,1457723230.0
2442,952954.0,TEDGlobal 2010,1279616880.0
2448,973590.0,TED2011,1299095820.0
2454,349870.0,TEDIndia 2009,1260376200.0
2460,1267109.0,TED2016,1458226907.0
2461,1020149.0,TEDGlobal 2014,1421942002.0
2463,1019552.0,TEDWomen 2016,1488470040.0
2466,1140116.0,TEDIndia 2009,1259802000.0
2482,2783168.0,TED2011,1299774060.0
2486,1972623.0,TED2015,1436803735.0
2489,1346079.0,TEDSalon London Spring 2012,1344524642.0
2497,1764908.0,TEDGlobal 2013,1373296344.0
2516,18526674.0,TEDIndia 2009,1258333200.0
2524,2112628.0,TED2007,1201059900.0
2533,4828581.0,TED2016,1457351945.0
2548,17345726.0,TED2004,1216366800.0
2551,1678556.0,TEDxClaremontColleges,1407769811.0
