id,standing ovation,mean,median,variance,standard deviation,sentence count
1707,0,13.7,12.0,92.53,9.62,153
293,0,22.25,19.0,189.74,13.77,142
1049,0,17.54,14.0,158.91,12.61,149
3648,0,15.32,15.0,138.14,11.75,25
3890,0,16.27,12.0,156.92,12.53,98
291,0,12.63,10.0,100.52,10.03,129
508,0,20.3,18.5,181.59,13.48,46
246,0,24.19,20.0,288.19,16.98,72
911,0,16.43,10.0,199.01,14.11,185
871,0,16.56,14.5,125.76,11.21,82
1315,0,16.51,14.0,157.53,12.55,126
2813,0,21.72,19.0,151.83,12.32,75
130,0,18.56,18.0,129.57,11.38,45
2378,0,14.73,11.0,91.42,9.56,120
441,0,15.72,14.0,122.14,11.05,95
3098,0,13.46,10.0,141.43,11.89,179
496,0,17.92,16.0,142.6,11.94,89
1880,0,14.77,12.0,86.84,9.32,124
657,0,17.09,14.0,156.66,12.52,135
509,0,17.87,14.0,195.36,13.98,38
3852,0,14.51,11.0,103.48,10.17,55
3846,0,19.3,17.0,131.51,11.47,83
3107,0,16.71,16.0,90.29,9.5,52
2557,0,10.05,8.0,39.83,6.31,287
